Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,3034,659734.198,270,58710.69
2298,16.1495,0,0.0,0,0.0
2235,73.9095,32,2365.104,38,2808.5609999999997
562,151.883,1668,253340.844,508,77156.564
2322,74.3347,24,1784.0328,10,743.347
533,77.6496,1101,85492.2096,685,53189.976
655,136.191,89,12120.999,128,17432.448
414,208.958,8813,1841546.854,3458,722576.764
253,149.505,6854,1024707.27,577,86264.385
853,129.616,68,8813.888,53,6869.648000000001
907,262.418,1642,430890.356,434,113889.412
1114,12.9007,18,232.2126,2,25.8014
939,1055.11,17504,18468645.439999998,4585,4837679.35
2606,11.2554,38,427.7052,49,551.5146
2837,150.956,5082,767158.392,691,104310.59599999999
1793,150.359,31,4661.129,60,9021.54
1046,85.9267,7525,646598.4175,558,47947.0986
554,46.3771,358,16603.0018,121,5611.6291
1970,47.9169,4556,218309.3964,238,11404.2222

weighted_avg,NA,NA,24443431.449900005,NA,6156193.5468999995
weighted_%,NA,NA,0.7988147388229826,NA,0.2011852611770174
weighted_total,30599624.996800005
