Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,6,1304.682,5597,1217050.859
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,102,7538.768999999999
562,151.883,12,1822.596,2015,306044.245
2322,74.3347,0,0.0,16,1189.3552
533,77.6496,19,1475.3424000000002,2036,158094.58560000002
655,136.191,0,0.0,316,43036.356
414,208.958,75,15671.85,22725,4748570.55
253,149.505,6,897.03,7649,1143563.7449999999
853,129.616,1,129.616,148,19183.168
907,262.418,16,4198.688,1523,399662.614
1114,12.9007,0,0.0,3,38.7021
939,1055.11,138,145605.18,43902,46321439.22
2606,11.2554,0,0.0,157,1767.0978
2837,150.956,19,2868.1639999999998,5663,854863.828
1793,150.359,0,0.0,146,21952.414
1046,85.9267,27,2320.0209,4479,384865.68929999997
554,46.3771,2,92.7542,231,10713.1101
1970,47.9169,0,0.0,47,2252.0942999999997

weighted_avg,NA,NA,176385.92349999998,NA,55641826.4024
weighted_%,NA,NA,0.0031600066743476805,NA,0.9968399933256523
weighted_total,55818212.3259
