Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4339923,195099502.4958
812,334.908,3880289,1299539828.412
1358,97.2156,5474345,532191733.78199995
1778,40.8635,10649071,435158312.8085
828,45.4532,9846314,447546479.5048
2213,8.07837,4729485,38206529.73945
1726,65.5195,2978025,195118708.98749998
2054,37.2896,2862670,106747819.232
1903,16.1097,3125474,50350448.4978
509,133.977,9580748,1283599874.796
1751,10.0901,3674920,37080310.291999996
62,40.4224,3926201,158706467.30240002
2151,40.7196,9266834,377341773.7464
239,98.774,2944230,290813374.02
1893,44.3029,3555904,157536859.3216
1305,111.513,6732242,750732502.146
1673,34.2884,3962960,135883557.664
492,45.4197,7338474,333311287.5378
2249,320.874,4432974,1422426099.276
264,17.7912,16039903,285369122.2536
2123,26.1783,10480013,274348924.3179
116,27.1629,6189222,168117218.2638
1159,18.1708,3874269,70398567.1452
1270,263.009,5893389,1550014347.5010002
2165,28.2044,3289465,92777386.646
1152,171.372,3782588,648229670.7360001
792,79.0312,4193362,331406430.8944
1979,51.6033,4507522,232603010.0226
2185,56.1164,15905500,892559400.1999999

weighted_avg,NA,NA,12793215547.54255
weighted_%,NA,NA,1.0
weighted_total,12793215547.54255
