Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
2264,44.9546,1067980,48010613.708,373655,16797511.063,32517,1461788.7282,1,44.9546,165,7417.509,589,26478.2594,1043,46887.6478
812,334.908,809182,271001525.25600004,664167,222434841.636,4156,1391877.648,0,0.0,3809,1275664.5720000002,36,12056.688,17,5693.436000000001
1358,97.2156,1149321,111731930.60759999,448738,43624333.9128,13906,1351880.1335999998,0,0.0,6630,644539.428,453,44038.6668,406,39469.533599999995
1778,40.8635,7786898,318199906.42300004,200362,8187492.587,5353,218742.3155,0,0.0,0,0.0,7,286.0445,6,245.181
828,45.4532,1768259,80373029.9788,256777,11671336.3364,65777,2989775.1364,0,0.0,26,1181.7832,76,3454.4432,126,5727.1032000000005
2213,8.07837,1096186,8855396.096819999,109081,881196.67797,10175,82197.41475,0,0.0,2,16.15674,23,185.80250999999998,50,403.9185
1726,65.5195,1302370,85330631.21499999,292005,19132021.597499996,4020,263388.38999999996,0,0.0,0,0.0,26,1703.5069999999998,0,0.0
2054,37.2896,872414,32531969.0944,652931,24347535.8176,2641,98481.8336,0,0.0,10,372.896,29,1081.3984,240,8949.504
1903,16.1097,901379,14520945.2763,224142,3610860.3774,641,10326.3177,0,0.0,1,16.1097,2,32.2194,13,209.4261
509,133.977,1170462,156814987.374,858642,115038279.234,7647,1024522.1190000001,0,0.0,180,24115.86,86,11522.022,26,3483.402
1751,10.0901,1042435,10518273.3935,700487,7067983.878699999,1670,16850.467,0,0.0,0,0.0,5,50.4505,0,0.0
62,40.4224,716406,28958849.8944,508404,20550909.849600002,8098,327340.59520000004,0,0.0,6,242.5344,79,3193.3696000000004,110,4446.464
2151,40.7196,1141231,46470469.8276,563964,22964388.4944,50897,2072505.4812,0,0.0,28,1140.1488,170,6922.332,225,9161.91
239,98.774,862972,85239196.328,587720,58051455.28,2252,222439.048,0,0.0,0,0.0,13,1284.062,3,296.322
1893,44.3029,649863,28790815.5027,903249,40016550.1221,1018,45100.3522,0,0.0,0,0.0,3,132.9087,2,88.6058
1305,111.513,903103,100707724.839,515001,57429306.513000004,18997,2118412.461,0,0.0,8583,957116.079,612,68245.956,495,55198.935000000005
1673,34.2884,584427,20039066.7468,284774,9764444.821600001,5670,194415.228,0,0.0,0,0.0,16,548.6144,9,308.59560000000005
492,45.4197,1241631,56394507.5307,650222,29532888.1734,12481,566883.2757,0,0.0,408,18531.2376,112,5087.0064,33,1498.8500999999999
2249,320.874,1068878,342975159.37200004,390015,125145673.11000001,40766,13080749.484000001,0,0.0,8750,2807647.5,915,293599.71,890,285577.86000000004
264,17.7912,903973,16082764.4376,886229,15767077.3848,48336,859955.4432,0,0.0,89,1583.4168,136,2419.6032,193,3433.7016
2123,26.1783,1111067,29085845.2461,703843,18425413.2069,48362,1266034.9446,1,26.1783,0,0.0,10,261.783,0,0.0
116,27.1629,1686390,45807242.931,708229,19237553.5041,20770,564173.433,0,0.0,3,81.4887,63,1711.2627,19,516.0951
1159,18.1708,1251430,22739484.244,312256,5673941.3248,17675,321168.89,0,0.0,29,526.9532,164,2980.0112,255,4633.554
1270,263.009,901843,237192825.587,467635,122992213.715,60574,15931507.166000001,0,0.0,2564,674355.076,5068,1332929.612,4601,1210104.409
2165,28.2044,1538659,43396953.8996,210591,5939592.8004,1025,28909.51,0,0.0,0,0.0,0,0.0,4,112.8176
1152,171.372,1016381,174179244.73200002,232208,39793949.376,21537,3690838.7640000004,0,0.0,0,0.0,80,13709.760000000002,40,6854.880000000001
792,79.0312,740994,58561645.0128,746771,59018208.2552,1226,96892.2512,0,0.0,0,0.0,1,79.0312,0,0.0
1979,51.6033,1627105,83963987.44649999,153560,7924202.748,8445,435789.8685,0,0.0,6,309.6198,45,2322.1485,8,412.8264
2185,56.1164,1603749,89996620.3836,264157,14823539.8748,99984,5610742.1376,0,0.0,2,112.2328,88,4938.2432,43,2413.0052

weighted_avg,NA,NA,2648471612.38482,NA,1145844701.67247,NA,56343688.83714999,NA,71.1329,NA,6414970.601740002,NA,1841254.91581,NA,1696127.9835999997
weighted_%,NA,NA,0.6860236975614602,NA,0.29680386808629317,NA,0.014594495017263473,NA,1.8425289079209198e-08,NA,0.0016616458456169803,NA,0.0004769333753061416,NA,0.0004393416887708246
weighted_total,3860612427.5284905
