Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2264,44.9546,73,3281.6857999999997,579,26028.7134
812,334.908,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0
1778,40.8635,2,81.727,0,0.0
828,45.4532,26,1181.7832,65,2954.458
2213,8.07837,4,32.31348,16,129.25392
1726,65.5195,0,0.0,0,0.0
2054,37.2896,43,1603.4528,86,3206.9056
1903,16.1097,4,64.4388,0,0.0
509,133.977,16,2143.632,2,267.954
1751,10.0901,0,0.0,0,0.0
62,40.4224,17,687.1808000000001,79,3193.3696000000004
2151,40.7196,6,244.3176,141,5741.4636
239,98.774,3,296.322,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,27,3010.851,1,111.513
1673,34.2884,1,34.2884,3,102.86520000000002
492,45.4197,3,136.2591,0,0.0
2249,320.874,103,33050.022000000004,93,29841.282000000003
264,17.7912,29,515.9448,130,2312.8559999999998
2123,26.1783,0,0.0,0,0.0
116,27.1629,3,81.4887,11,298.7919
1159,18.1708,14,254.3912,50,908.54
1270,263.009,542,142550.878,1744,458687.696
2165,28.2044,0,0.0,0,0.0
1152,171.372,4,685.488,0,0.0
792,79.0312,0,0.0,0,0.0
1979,51.6033,2,103.2066,0,0.0
2185,56.1164,1,56.1164,6,336.6984

weighted_avg,NA,NA,190095.78768,NA,534122.36062
weighted_%,NA,NA,0.2624841536023684,NA,0.7375158463976317
weighted_total,724218.1483
