Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
2264,44.9546,1067990,48011063.254,373656,16797556.0176,32517,1461788.7282,1,44.9546,166,7462.4636,589,26478.2594,1043,46887.6478
812,334.908,809443,271088936.244,663933,222356473.164,4158,1392547.4640000002,0,0.0,3789,1268966.412,36,12056.688,15,5023.62
1358,97.2156,1149205,111720653.59799999,448847,43634930.4132,13902,1351491.2711999998,0,0.0,6669,648330.8363999999,452,43941.451199999996,411,39955.6116
1778,40.8635,7786909,318200355.9215,200362,8187492.587,5353,218742.3155,0,0.0,0,0.0,7,286.0445,6,245.181
828,45.4532,1768262,80373166.3384,256778,11671381.7896,65778,2989820.5896,0,0.0,26,1181.7832,76,3454.4432,126,5727.1032000000005
2213,8.07837,1096196,8855476.88052,109083,881212.83471,10175,82197.41475,0,0.0,2,16.15674,23,185.80250999999998,50,403.9185
1726,65.5195,1302394,85332203.683,292005,19132021.597499996,4020,263388.38999999996,0,0.0,0,0.0,26,1703.5069999999998,0,0.0
2054,37.2896,872420,32532192.832,652936,24347722.2656,2641,98481.8336,0,0.0,10,372.896,29,1081.3984,240,8949.504
1903,16.1097,901385,14521041.9345,224143,3610876.4871,641,10326.3177,0,0.0,1,16.1097,2,32.2194,13,209.4261
509,133.977,1170473,156816461.121,858651,115039485.02700001,7647,1024522.1190000001,0,0.0,180,24115.86,86,11522.022,26,3483.402
1751,10.0901,1042439,10518313.753899999,700490,7068014.148999999,1670,16850.467,0,0.0,0,0.0,5,50.4505,0,0.0
62,40.4224,716413,28959132.851200003,508407,20551031.116800003,8098,327340.59520000004,0,0.0,6,242.5344,79,3193.3696000000004,110,4446.464
2151,40.7196,1141231,46470469.8276,563964,22964388.4944,50897,2072505.4812,0,0.0,28,1140.1488,170,6922.332,225,9161.91
239,98.774,862975,85239492.65,587723,58051751.602,2252,222439.048,0,0.0,0,0.0,13,1284.062,3,296.322
1893,44.3029,649871,28791169.9259,903261,40017081.7569,1018,45100.3522,0,0.0,0,0.0,3,132.9087,2,88.6058
1305,111.513,903057,100702595.24100001,515001,57429306.513000004,18997,2118412.461,0,0.0,8629,962245.677,605,67465.365,502,55979.526000000005
1673,34.2884,584427,20039066.7468,284774,9764444.821600001,5670,194415.228,0,0.0,0,0.0,16,548.6144,9,308.59560000000005
492,45.4197,1243401,56474900.3997,648480,29453767.055999998,12482,566928.6954,0,0.0,404,18349.5588,112,5087.0064,32,1453.4304
2249,320.874,1068668,342907775.832,390146,125187707.604,40771,13082353.854,0,0.0,8826,2832033.924,912,292637.08800000005,888,284936.112
264,17.7912,903985,16082977.932,886233,15767148.5496,48336,859955.4432,0,0.0,83,1476.6696,136,2419.6032,193,3433.7016
2123,26.1783,1111075,29086054.6725,703848,18425544.0984,48362,1266034.9446,1,26.1783,0,0.0,10,261.783,0,0.0
116,27.1629,1686390,45807242.931,708229,19237553.5041,20770,564173.433,0,0.0,3,81.4887,63,1711.2627,19,516.0951
1159,18.1708,1251430,22739484.244,312256,5673941.3248,17675,321168.89,0,0.0,29,526.9532,164,2980.0112,255,4633.554
1270,263.009,902815,237448470.335,466561,122709742.04900001,60440,15896263.96,0,0.0,2666,701181.9940000001,5089,1338452.801,4714,1239824.426
2165,28.2044,1538681,43397574.3964,210593,5939649.2092,1025,28909.51,0,0.0,0,0.0,0,0.0,4,112.8176
1152,171.372,1016381,174179244.73200002,232208,39793949.376,21537,3690838.7640000004,0,0.0,0,0.0,80,13709.760000000002,40,6854.880000000001
792,79.0312,740996,58561803.0752,746776,59018603.4112,1226,96892.2512,0,0.0,0,0.0,1,79.0312,0,0.0
1979,51.6033,1627113,83964400.2729,153560,7924202.748,8445,435789.8685,0,0.0,6,309.6198,45,2322.1485,8,412.8264
2185,56.1164,1603749,89996620.3836,264157,14823539.8748,99984,5610742.1376,0,0.0,2,112.2328,88,4938.2432,43,2413.0052

weighted_avg,NA,NA,2648818342.0096197,NA,1145460519.4421098,NA,56310421.827649996,NA,71.1329,NA,6468163.318740001,NA,1844937.67621,NA,1725757.6858999997
weighted_%,NA,NA,0.686110704218107,NA,0.29670314161755773,NA,0.014585818348598288,NA,1.8425213740799044e-08,NA,0.001675417305609368,NA,0.00047788535294670045,NA,0.0004470147319669834
weighted_total,3860628213.09313
