Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
517,810.151,0,0.0,0,0.0
5297,898.498,14,12578.972000000002,13,11680.474
5168,967.77,2,1935.54,0,0.0
2807,979.819,0,0.0,0,0.0
2215,509.983,2,1019.966,0,0.0
1490,862.35,17,14659.95,11,9485.85
3954,490.914,0,0.0,0,0.0
2031,399.553,0,0.0,0,0.0

weighted_avg,NA,NA,30194.428000000004,NA,21166.324
weighted_%,NA,NA,0.5878891337105033,NA,0.41211086628949667
weighted_total,51360.75200000001
