Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1463720,1185834221.72,517443,419206963.89299995
5297,898.498,1463943,1315349857.614,541859,486859227.782
5168,967.77,1463556,1416385590.12,522920,506066288.4
2807,979.819,1463329,1433797557.451,517146,506709476.574
2215,509.983,1464454,746846644.2820001,520081,265232468.623
1490,862.35,1464636,1263028854.6000001,531585,458412324.75
3954,490.914,1463955,718676004.87,520881,255707775.234
2031,399.553,1464988,585340350.364,520571,207995704.763

weighted_avg,NA,NA,8665259081.021,NA,3106190230.019
weighted_%,NA,NA,0.7361250812925965,NA,0.2638749187074034
weighted_total,11771449311.04
