Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,75005,60765375.754999995,18153,14706671.102999998
5297,898.498,74893,67291210.714,18817,16907036.866
5168,967.77,74954,72538232.58,18232,17644382.64
2807,979.819,74924,73411958.756,18236,17867979.283999998
2215,509.983,74908,38201806.564,18255,9309739.665000001
1490,862.35,74816,64517577.6,18769,16185447.15
3954,490.914,74730,36686003.22,18231,8949853.134
2031,399.553,74741,29862990.773,18270,7299833.31

weighted_avg,NA,NA,443275155.962,NA,108870943.15200001
weighted_%,NA,NA,0.8028222180203762,NA,0.1971777819796237
weighted_total,552146099.1140001
