Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,392798,318225692.49799997,31344,25393372.944
5297,898.498,392105,352305558.29,32896,29556990.208
5168,967.77,392674,380018116.98,32675,31621884.75
2807,979.819,392571,384648524.649,32982,32316390.257999998
2215,509.983,392488,200162207.704,32520,16584647.16
1490,862.35,392233,338242127.55,33708,29068093.8
3954,490.914,392496,192681781.34399998,31457,15442681.697999999
2031,399.553,392387,156779403.011,31437,12560747.661

weighted_avg,NA,NA,2323063412.026,NA,192544808.47900003
weighted_%,NA,NA,0.923459938272762,NA,0.076540061727238
weighted_total,2515608220.505
