Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
2766,217.447,0,0.0,0,0.0,6,1304.682
2298,16.1495,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0
562,151.883,0,0.0,0,0.0,22,3341.4260000000004
2322,74.3347,0,0.0,0,0.0,3,223.0041
533,77.6496,0,0.0,0,0.0,50,3882.4800000000005
655,136.191,1,136.191,0,0.0,3,408.573
414,208.958,0,0.0,0,0.0,176,36776.608
253,149.505,0,0.0,0,0.0,1,149.505
853,129.616,1,129.616,0,0.0,3,388.84800000000007
907,262.418,0,0.0,0,0.0,2,524.836
1114,12.9007,0,0.0,0,0.0,0,0.0
939,1055.11,0,0.0,0,0.0,83,87574.12999999999
2606,11.2554,1,11.2554,0,0.0,3,33.7662
2837,150.956,0,0.0,0,0.0,1,150.956
1793,150.359,2,300.718,0,0.0,4,601.436
1046,85.9267,0,0.0,0,0.0,20,1718.5339999999999
554,46.3771,0,0.0,0,0.0,1,46.3771
1970,47.9169,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,577.7804000000001,NA,0.0,NA,137125.16140000004
weighted_%,NA,NA,0.004195846453586803,NA,0.0,NA,0.9958041535464133
weighted_total,137702.94180000003
