Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,5244,1140292.068,358,77846.026
2298,16.1495,0,0.0,0,0.0
2235,73.9095,53,3917.2034999999996,49,3621.5654999999997
562,151.883,1599,242860.91700000002,429,65157.807
2322,74.3347,12,892.0164,4,297.3388
533,77.6496,1418,110107.1328,642,49851.04320000001
655,136.191,186,25331.526,130,17704.83
414,208.958,17893,3738885.494,7544,1576379.152
253,149.505,7261,1085555.805,400,59802.0
853,129.616,92,11924.672,57,7388.112000000001
907,262.418,1264,331696.352,275,72164.95
1114,12.9007,3,38.7021,0,0.0
939,1055.11,37468,39532861.48,10620,11205268.2
2606,11.2554,77,866.6658,80,900.432
2837,150.956,5393,814105.708,289,43626.284
1793,150.359,52,7818.668000000001,94,14133.746000000001
1046,85.9267,4241,364415.1347,268,23028.3556
554,46.3771,163,7559.467299999999,70,3246.397
1970,47.9169,47,2252.0942999999997,0,0.0

weighted_avg,NA,NA,47421381.10689999,NA,13220416.239099998
weighted_%,NA,NA,0.7819916820131646,NA,0.21800831798683543
weighted_total,60641797.345999986
